id	select_type	table	type	possible_keys	key	key_len	ref	rows	Extra
1	PRIMARY	d	const	PRIMARY	PRIMARY	4	const	1	
1	PRIMARY	s	const	PRIMARY	PRIMARY	4	const	1	
1	PRIMARY	<derived2>	ALL	NULL	NULL	NULL	NULL	4	Using where
1	PRIMARY	<derived3>	ALL	NULL	NULL	NULL	NULL	4	Using where; Using join buffer (flat, BNL join)
2	DERIVED	dr	ref	idx_doctor_review_doctor	idx_doctor_review_doctor	4	const	4	
3	DERIVED	dr	ref	idx_doctor_review_doctor	idx_doctor_review_doctor	4	const	4	
3	DERIVED	h	eq_ref	PRIMARY	PRIMARY	4	hospital_db.dr.hospitalization_id	1	Using index
3	DERIVED	hr	ref	idx_hospitalization_review_hosp	idx_hospitalization_review_hosp	4	hospital_db.dr.hospitalization_id	1	
